DATE,DQO,COLIFORMES_TERMOTOLERANTES,FÓSFORO,NITROGÊNIO,DBO,PH,SURFACTANTES,SÓLIDOS,ÓLEOS,COR_VERDADEIRA
2012-01-31,15.0,64880.0,2.21,53.14051692042684,27.593001275659038,7.910492945238564,0.10133369531807718,11.645041372784217,10.65490128848521,37.4166855501425
2012-02-29,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-03-31,32.0,384625.9999999999,0.395,64.8884421476167,29.16313895297162,8.040058332581435,0.1010780801256763,12.506970744981992,10.032744487125559,36.487300395737606
2012-04-30,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-05-31,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-06-30,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-07-31,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-08-31,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-09-30,14.15,10174.000000000002,1.67,44.86018570852403,24.615754339670602,7.781722809014384,0.102993714789111,16.992223043102488,10.4584500751432,36.42681143072406
2012-10-31,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2012-11-30,82.99999999999997,98040.0,6.306999999999999,57.9617130726716,27.428835454734784,7.823699430534852,0.1047390609756993,12.31307701237426,10.029251938782188,37.9925512202961
